,nom_mag,addresse,lat,long
25,Aldi Supermarkt,"Lostraat 41
2220 Heist-op-den-Berg",51.06946535,4.735030757686603
26,Aldi Supermarkt,"Bredestraat 193
2620 Hemiksem",51.1503073,4.3402735
27,Aldi Supermarkt,"Noorderwijksebaan 40
2200 Herentals",51.17019785,4.8322650268544916
28,Aldi Supermarkt,"Itegemsesteenweg 68
2270 Herenthout",51.13382765,4.760874799279845
29,Aldi Supermarkt,"Dieperstraat 2
2230 Herselt",51.051415500000004,4.877604828521463
30,Aldi Supermarkt Sint-Bernardse Steenweg,"Sint-Bernardse Steenweg 589
2660 Hoboken",51.1766599,4.3683091
31,Aldi Zeelandstraat,"Zeelandstraat 8
2660 Hoboken",51.1842115,4.3709402
32,Aldi Supermarkt,"Antwerpse Steenweg 81
2940 Hoevenen",51.3044488,4.410879699227828
33,Aldi Supermarkt,"Minderhoutdorp 49
2320 Hoogstraten",51.414442,4.762045259522662
34,Aldi Supermarkt,"Willy Vandersteenplein 16
2920 Kalmthout",51.3638655,4.4643887
35,Aldi Supermarkt,"Kapelsestraat 116
2950 Kapellen",51.3276546,4.418428026014753
36,Aldi Supermarkt,"Geelsebaan 64
2460 Kasterlee",51.2370068,4.9692737
37,Aldi Supermarkt,"Antwerpsesteenweg 123
2550 Kontich",51.140957650000004,4.455109735425067
38,Aldi Supermarkt,"Mechelsesteenweg 494
2500 Lier",51.1023919,4.5110812
39,Aldi Supermarkt Lispersteenweg,"Lispersteenweg 398
2500 Lier",51.148309100000006,4.578110544201177
40,Aldi Supermarkt,"Poederleeseweg 50
2275 Lille",51.23509025,4.827296722030596
41,Aldi Supermarkt,"Zoerselbaan 4
2390 Malle",51.296015,4.693173003041765
42,Aldi Supermarkt Elektriciteitstraat,"Elektriciteitstraat 37
2800 Mechelen",51.0365619,4.470599972227596
43,Aldi Supermarkt Hombeeksesteenweg,"Hombeeksesteenweg 146-148
2800 Mechelen",51.0182728,4.4687584
44,Aldi Supermarkt Leuvensesteenweg,"Leuvensesteenweg 100
2800 Mechelen",51.0165331,4.495410836660964
45,Aldi Supermarkt Nekkerspoel,"Nekkerspoel 441
2800 Mechelen",51.0341995,4.5071289912226735
46,Aldi Supermarkt,"Bevrijdingslaan 147
2450 Meerhout",51.1236093,5.062964786478396
47,Aldi Supermarkt Bredabaan,"Bredabaan 891-893
2170 Merksem",51.2440444,4.4445187
48,Aldi Supermarkt Lambrechtshoekenlaan,"Lambrechtshoekenlaan 33
2170 Merksem",51.2527357,4.4350345
49,Aldi Supermarkt Molderdijk,"Molderdijk 23
2400 Mol",51.1823495,5.119188597292105
